IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.54.36,443,443,TRUE,FRA,Europe,Frankfurt,219,10.03
34.154.84.68,443,443,TRUE,FRA,Europe,Frankfurt,186,10
34.154.95.207,443,443,TRUE,FRA,Europe,Frankfurt,181,10
34.89.222.182,443,443,TRUE,FRA,Europe,Frankfurt,184,10
34.118.69.194,443,443,TRUE,AMS,Europe,Amsterdam,188,10
34.154.208.160,443,443,TRUE,FRA,Europe,Frankfurt,177,9.99
34.118.125.170,443,443,TRUE,FRA,Europe,Frankfurt,239,9.99
34.154.11.107,443,443,TRUE,FRA,Europe,Frankfurt,176,9.96
34.116.193.7,443,443,TRUE,FRA,Europe,Frankfurt,190,9.95
34.65.152.92,443,443,TRUE,FRA,Europe,Frankfurt,178,9.94
34.116.212.205,443,443,TRUE,FRA,Europe,Frankfurt,187,9.91
34.118.97.63,443,443,TRUE,FRA,Europe,Frankfurt,173,9.9
34.34.111.163,443,443,TRUE,FRA,Europe,Frankfurt,185,9.9
34.65.223.110,443,443,TRUE,FRA,Europe,Frankfurt,180,9.88
34.154.92.40,443,443,TRUE,FRA,Europe,Frankfurt,185,9.86
34.116.196.84,443,443,TRUE,FRA,Europe,Frankfurt,171,9.85
34.154.134.105,443,443,TRUE,FRA,Europe,Frankfurt,181,9.84
34.65.199.212,443,443,TRUE,FRA,Europe,Frankfurt,177,9.83
34.154.237.146,443,443,TRUE,FRA,Europe,Frankfurt,178,9.83
34.154.213.27,443,443,TRUE,FRA,Europe,Frankfurt,179,9.8
34.154.77.58,443,443,TRUE,FRA,Europe,Frankfurt,177,9.78
34.154.169.43,443,443,TRUE,FRA,Europe,Frankfurt,186,9.73
35.228.168.221,443,443,TRUE,ARN,Europe,Stockholm,188,9.71
34.154.189.204,443,443,TRUE,FRA,Europe,Frankfurt,183,9.69
34.65.219.21,443,443,TRUE,FRA,Europe,Frankfurt,173,9.64
34.90.134.12,443,443,TRUE,FRA,Europe,Frankfurt,176,9.63
34.32.144.218,443,443,TRUE,FRA,Europe,Frankfurt,184,9.63
34.91.179.33,443,443,TRUE,FRA,Europe,Frankfurt,188,9.62
34.65.224.208,443,443,TRUE,FRA,Europe,Frankfurt,168,9.6
34.65.209.233,443,443,TRUE,FRA,Europe,Frankfurt,176,9.6
34.118.60.28,443,443,TRUE,FRA,Europe,Frankfurt,245,9.54
34.154.104.130,443,443,TRUE,FRA,Europe,Frankfurt,181,9.54
34.154.177.131,443,443,TRUE,FRA,Europe,Frankfurt,175,9.52
34.116.236.232,443,443,TRUE,FRA,Europe,Frankfurt,192,9.49
34.154.80.117,443,443,TRUE,FRA,Europe,Frankfurt,180,9.49
34.107.24.217,443,443,TRUE,FRA,Europe,Frankfurt,170,9.49
34.118.122.49,443,443,TRUE,FRA,Europe,Frankfurt,213,9.49
34.154.221.175,443,443,TRUE,FRA,Europe,Frankfurt,177,9.44
34.154.25.190,443,443,TRUE,FRA,Europe,Frankfurt,180,9.43
34.154.145.67,443,443,TRUE,FRA,Europe,Frankfurt,186,9.41
34.154.69.186,443,443,TRUE,FRA,Europe,Frankfurt,182,9.4
34.154.216.109,443,443,TRUE,FRA,Europe,Frankfurt,179,9.37
34.107.114.204,443,443,TRUE,FRA,Europe,Frankfurt,220,9.36
34.116.182.157,443,443,TRUE,FRA,Europe,Frankfurt,197,9.34
34.118.109.159,443,443,TRUE,FRA,Europe,Frankfurt,266,9.33
34.118.105.94,443,443,TRUE,FRA,Europe,Frankfurt,243,9.33
34.91.179.33,443,443,TRUE,FRA,Europe,Frankfurt,184,9.32
34.116.192.44,443,443,TRUE,FRA,Europe,Frankfurt,185,9.29
34.88.63.160,443,443,TRUE,FRA,Europe,Frankfurt,221,9.28
34.88.63.160,443,443,TRUE,FRA,Europe,Frankfurt,185,9.27
34.118.50.137,443,443,TRUE,FRA,Europe,Frankfurt,186,9.27
34.107.121.170,443,443,TRUE,FRA,Europe,Frankfurt,168,9.24
34.159.167.124,443,443,TRUE,FRA,Europe,Frankfurt,245,9.23
34.90.40.239,443,443,TRUE,FRA,Europe,Frankfurt,178,9.22
34.116.217.9,443,443,TRUE,FRA,Europe,Frankfurt,190,9.21
34.118.4.192,443,443,TRUE,FRA,Europe,Frankfurt,177,9.13
34.118.0.26,443,443,TRUE,FRA,Europe,Frankfurt,203,9.13
34.116.246.250,443,443,TRUE,FRA,Europe,Frankfurt,189,9.13
34.65.234.143,443,443,TRUE,FRA,Europe,Frankfurt,177,9.12
34.116.240.97,443,443,TRUE,FRA,Europe,Frankfurt,199,9.12
34.116.200.90,443,443,TRUE,FRA,Europe,Frankfurt,184,9.11
34.118.92.254,443,443,TRUE,DUS,Europe,Düsseldorf,189,9.1
34.91.215.99,443,443,TRUE,FRA,Europe,Frankfurt,174,9.08
34.116.188.130,443,443,TRUE,FRA,Europe,Frankfurt,188,9.08
35.204.204.58,443,443,TRUE,FRA,Europe,Frankfurt,179,9.06
34.118.92.254,443,443,TRUE,FRA,Europe,Frankfurt,256,9.05
34.116.235.3,443,443,TRUE,FRA,Europe,Frankfurt,184,9.03
34.41.252.92,443,443,TRUE,ORD,North America,Chicago,255,9.03
34.72.146.82,443,443,TRUE,ORD,North America,Chicago,206,9.03
34.116.249.42,443,443,TRUE,FRA,Europe,Frankfurt,191,9.02
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,207,9.02
34.72.146.82,443,443,TRUE,ORD,North America,Chicago,206,9.02
34.72.146.82,443,443,TRUE,ORD,North America,Chicago,205,9.02
35.226.211.129,443,443,TRUE,ORD,North America,Chicago,260,9.01
34.123.83.237,443,443,TRUE,ORD,North America,Chicago,208,9.01
34.123.83.237,443,443,TRUE,ORD,North America,Chicago,208,9
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,212,9
34.118.120.232,443,443,TRUE,FRA,Europe,Frankfurt,214,9
34.66.72.229,443,443,TRUE,ORD,North America,Chicago,207,8.99
35.234.106.130,443,443,TRUE,FRA,Europe,Frankfurt,169,8.99
34.118.42.32,443,443,TRUE,FRA,Europe,Frankfurt,194,8.99
34.41.252.92,443,443,TRUE,ORD,North America,Chicago,207,8.98
34.118.67.75,443,443,TRUE,FRA,Europe,Frankfurt,184,8.97
34.116.221.161,443,443,TRUE,FRA,Europe,Frankfurt,194,8.96
34.67.45.105,443,443,TRUE,ORD,North America,Chicago,207,8.95
34.118.55.137,443,443,TRUE,FRA,Europe,Frankfurt,190,8.95
